id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,BAA0001,Leban perak,Vitex sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,60,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5414318,101.0905876,5.146335999,3.44,Belum,-,-,Hari Yudistira,21/09/2021 14:17,200000,4215.31,-,"Chave et al, 2014",media/1632265912646.jpg,media/1632265975666.jpg,media/1632266187956.jpg,media/1632266240245.jpg,
2,BAA0002,Leban perak,Vitex sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,45,13,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.541435,101.0905706,10.62592942,3.44,Belum,-,-,Hari Yudistira,21/09/2021 14:32,200000,2090.71,-,"Chave et al, 2014",media/1632266791724.jpg,media/1632266838898.jpg,media/1632267074722.jpg,media/1632267133866.jpg,
3,BAA0003,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,34.7,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5433315,101.0925501,3.534858706,3.21,Belum,-,-,Hari Yudistira,21/09/2021 14:51,50000,1682.27,-,"Chave et al, 2014",media/1632268143489.jpg,media/1632268172351.jpg,media/1632268210189.jpg,media/1632268252371.jpg,
4,BAA0004,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,52,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5436342,101.0926418,8.268010248,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:00,200000,4257.35,-,"Chave et al, 2014",media/1632268633705.jpg,media/1632268706845.jpg,media/1632268758955.jpg,media/1632268780986.jpg,
5,BAA0005,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,37,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.543589,101.092757,5.33806168,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:05,50000,2832.49,-,"Chave et al, 2014",media/1632268938721.jpg,media/1632268961942.jpg,media/1632269102450.jpg,media/1632269112346.jpg,
6,BAA0006,Asam kandis,Garcinia parfipolia,Pohon Dewasa,icon/mature_tree.svg,Not Defined,40,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5436707,101.0927212,-21.84595963,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:09,200000,3298.07,-,"Chave et al, 2014",media/1632269277482.jpg,media/1632269311385.jpg,media/1632269341024.jpg,media/1632269357659.jpg,
7,BAA0007,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,47,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5436161,101.0926855,7.274821296,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:13,200000,4345.30,-,"Chave et al, 2014",media/1632269496473.jpg,media/1632269518195.jpg,media/1632269558569.jpg,media/1632269572395.jpg,
8,BAA0008,Kelat,Eugenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435324,101.0928329,-5.043294669,3.19,Belum,-,-,Hari Yudistira,21/09/2021 15:23,200000,2869.22,-,"Chave et al, 2014",media/1632270067327.jpg,media/1632270116773.jpg,media/1632270145120.jpg,media/1632270171300.jpg,
9,BAA0009,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435301,101.0932259,27.54425996,3.19,Belum,-,-,Hari Yudistira,21/09/2021 15:28,200000,3072.70,-,"Chave et al, 2014",media/1632270427773.jpg,media/1632270451655.jpg,media/1632270478351.jpg,media/1632270493947.jpg,
10,BAA0010,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,37,22,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5436583,101.0931372,19.33617475,3.17,Belum,-,-,Hari Yudistira,21/09/2021 15:32,50000,2092.68,-,"Chave et al, 2014",media/1632270668960.jpg,media/1632270687002.jpg,media/1632270727228.jpg,media/1632270760542.jpg,
11,BAA0011,Rengas,Gluta renghas,Pohon Dewasa,icon/mature_tree.svg,Not Defined,48,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5438724,101.0920202,-8.18634436,3.16,Belum,-,-,Hari Yudistira,21/09/2021 15:44,200000,3379.76,-,"Chave et al, 2014",media/1632271342231.jpg,media/1632271388110.jpg,media/1632271411245.jpg,media/1632271433978.jpg,
12,BAA0012,Timah-Timah,Ilex,Pohon Muda,icon/young_tree.svg,Not Defined,36,17,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.543918,101.0920646,7.564393531,3.15,Belum,-,-,Hari Yudistira,21/09/2021 15:47,50000,1541.35,-,"Chave et al, 2014",media/1632271544654.jpg,media/1632271591474.jpg,media/1632271613110.jpg,media/1632271635190.jpg,
13,BAA0013,Belanti,Coccoceras borneense,Pohon Muda,icon/young_tree.svg,Not Defined,39,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5438793,101.0920447,15.6224351,3.16,Belum,-,-,Hari Yudistira,21/09/2021 15:53,50000,2370.46,-,"Chave et al, 2014",media/1632271802104.jpg,media/1632271940642.jpg,media/1632271959201.jpg,media/1632271983585.jpg,
14,BAA0014,Buto Buto/Guah Guah,-,Pohon Muda,icon/young_tree.svg,Not Defined,39,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5441457,101.0918865,7.754886284,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:00,50000,2740.58,-,"Brown, 1997",media/1632272331076.jpg,media/1632272368458.jpg,media/1632272406973.jpg,media/1632272427889.jpg,
15,BAA0015,Buto Buto/Guah Guah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,17,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5441554,101.0918869,10.23583197,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:03,200000,3305.75,-,"Brown, 1997",media/1632272556053.jpg,media/1632272578707.jpg,media/1632272610589.jpg,media/1632272626879.jpg,
16,BAA0016,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,33,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5441542,101.0918563,5.594407757,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:07,50000,1323.43,-,"Chave et al, 2014",media/1632272733324.jpg,media/1632272759313.jpg,media/1632272826815.jpg,media/1632272852993.jpg,
17,BAA0017,Buto Buto/Guah Guah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,51,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5441843,101.0918294,11.22594104,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:12,200000,5402.59,-,"Brown, 1997",media/1632272967560.jpg,media/1632273096979.jpg,media/1632273147660.jpg,media/1632273164515.jpg,
18,BAA0018,Buto Buto/Guah Guah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,51,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5442321,101.0919444,8.126473977,3.12,Belum,-,-,Hari Yudistira,21/09/2021 16:17,200000,5402.59,-,"Brown, 1997",media/1632273330548.jpg,media/1632273351148.jpg,media/1632273428110.jpg,media/1632273456599.jpg,
19,BAA0019,Leban bunga,Vitex Pinnata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,47,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5442025,101.0919307,12.76935094,3.12,Belum,-,-,Hari Yudistira,21/09/2021 16:23,200000,5057.61,-,"Chave et al, 2014",media/1632273613570.jpg,media/1632273650439.jpg,media/1632273779847.jpg,media/1632273801926.jpg,
20,BAA0020,Buto Buto/Gurah Gurah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,40,28,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5441933,101.0919333,11.04325398,3.12,Belum,-,-,Hari Yudistira,21/09/2021 16:27,200000,2921.87,-,"Brown, 1997",media/1632273915993.jpg,media/1632273937902.jpg,media/1632274003142.jpg,media/1632274016088.jpg,
21,BAA0021,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5439237,101.0918631,-6.898748652,3.15,Belum,-,-,Hari Yudistira,21/09/2021 16:32,200000,3328.42,-,"Chave et al, 2014",media/1632274237645.jpg,media/1632274271449.jpg,media/1632274298132.jpg,media/1632274331157.jpg,
22,BAA0022,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,36,12,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5434418,101.0894503,-4.612478122,3.24,Belum,-,-,Hari Yudistira,21/09/2021 16:59,50000,1097.87,-,"Chave et al, 2014",media/1632275889280.jpg,media/1632275910629.jpg,media/1632275948264.jpg,media/1632275970642.jpg,
23,BAA0023,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,52,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435611,101.0892236,12.3126142,3.23,Belum,-,-,Putri,21/09/2021 17:02,200000,3215.13,-,"Chave et al, 2014",media/1632276092166.jpg,media/1632276109895.jpg,media/1632276129833.jpg,media/1632276139881.jpg,
24,BAA0024,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435608,101.0892153,5.230679448,3.23,Belum,-,-,Hari Yudistira,21/09/2021 17:06,200000,3072.70,-,"Chave et al, 2014",media/1632276265085.jpg,media/1632276282768.jpg,media/1632276377917.jpg,media/1632276402606.jpg,
25,BAA0026,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,13,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5433189,101.0926682,11.89174077,3.21,Belum,-,-,Devita,21/09/2021 14:52,200000,1758.16,-,"Chave et al, 2014",media/1632210660923.jpg,media/1632210681801.jpg,media/1632210706508.jpg,media/1632210732695.jpg,
26,BAA0028,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,47.7,23,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435663,101.0928703,7.973805814,3.19,Belum,-,-,Jefri Neldi,21/09/2021 15:08,200000,4122.96,-,"Chave et al, 2014",media/1632211634024.jpg,media/1632211648950.jpg,media/1632211700642.jpg,media/1632211722460.jpg,
27,BAA0029,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,48,28,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5434125,101.0930637,5.085303261,3.2,Belum,-,-,Jefri Neldi,21/09/2021 15:18,200000,5057.13,-,"Chave et al, 2014",media/1632212202231.jpg,media/1632212221260.jpg,media/1632212250805.jpg,media/1632212277427.jpg,
28,BAA0030,Bintangor,Calophyllum sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44.9,29,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5432568,101.0929979,12.15874444,3.22,Belum,-,-,Juliardi,21/09/2021 15:22,200000,4095.02,-,"Chave et al, 2014",media/1632212481152.jpg,media/1632212496016.jpg,media/1632212525438.jpg,media/1632212542778.jpg,
29,BAA0031,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,43.9,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5432101,101.0929994,9.78701103,3.22,Belum,-,-,Deviya,21/09/2021 15:30,200000,3803.43,-,"Chave et al, 2014",media/1632212916061.jpg,media/1632212952387.jpg,media/1632212974143.jpg,media/1632212992976.jpg,
30,BAA0032,Asam Kandis,Garcinia parfipolia,Pohon Dewasa,icon/mature_tree.svg,Not Defined,40,18,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.543525,101.0923342,9.741015031,3.19,Belum,-,-,Rindi,21/09/2021 15:39,200000,2003.25,-,"Chave et al, 2014",media/1632213466592.jpg,media/1632213489856.jpg,media/1632213534703.jpg,media/1632213552172.jpg,
31,BAA0034,Loban,Vitex Pinnata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,59,23,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435939,101.0922574,26.27380495,3.19,Belum,-,-,Didi Trianto,21/09/2021 15:47,200000,7267.25,-,"Chave et al, 2014",media/1632213994186.jpg,media/1632214007335.jpg,media/1632214041126.jpg,media/1632214070133.jpg,
32,BAA0037,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46,17,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.543408,101.0914417,22.6945119,3.22,Belum,-,-,Rindi,21/09/2021 16:10,200000,2859.67,-,"Chave et al, 2014",media/1632215397703.jpg,media/1632215409823.jpg,media/1632215434158.jpg,media/1632215449121.jpg,
33,BAA0040,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50,17,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5433083,101.0898518,5.110941808,3.25,Belum,-,-,M. Arifin,21/09/2021 16:41,200000,3365.14,-,"Chave et al, 2014",media/1632217127292.jpg,media/1632217218909.jpg,media/1632217258365.jpg,media/1632217273360.jpg,
34,BAA0041,Rengas,Gluta renghas,Pohon Dewasa,icon/mature_tree.svg,Not Defined,64,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5434226,101.0896241,11.71097313,3.24,Belum,-,-,Albano Amaral,21/09/2021 16:46,200000,7368.01,-,"Chave et al, 2014",media/1632217475186.jpg,media/1632217498283.jpg,media/1632217523357.jpg,media/1632217560248.jpg,
35,BAA0042,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,23,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.54358,101.0895826,13.61163903,3.23,Belum,-,-,Agustar,21/09/2021 16:52,200000,3068.28,-,"Chave et al, 2014",media/1632217842099.jpg,media/1632217856116.jpg,media/1632217891103.jpg,media/1632217921059.jpg,
36,BAA0043,Bengku,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,73,28,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435506,101.0897327,10.88271224,3.23,Belum,-,-,M. Arifin,21/09/2021 16:58,200000,13386.17,-,"Brown, 1997",media/1632218208312.jpg,media/1632218222194.jpg,media/1632218254390.jpg,media/1632218283338.jpg,
37,BAA0027,Kandis,Garcinia sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,44.58,24,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5433333,101.0926989,56.72035868,3.21,Belum,-,-,Rindi,21/09/2021 15:00,200000,4373.37,-,"Chave et al, 2014",media/1632211102971.jpg,media/1632211162637.jpg,media/1632211205316.jpg,media/1632211243496.jpg,
38,BAA0033,Loban,Vitex Pinnata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,55.4,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435569,101.092417,41.76637785,3.19,Belum,-,-,Alfitra,21/09/2021 15:43,200000,5607.34,-,"Chave et al, 2014",media/1632213715467.jpg,media/1632213733590.jpg,media/1632213751431.jpg,media/1632213787310.jpg,
39,BAA0035,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41.4,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5427897,101.092087,4.706241118,3.28,Belum,-,-,Abu Bakar,21/09/2021 15:54,200000,2060.37,-,"Chave et al, 2014",media/1632214414620.jpg,media/1632214430803.jpg,media/1632214449573.jpg,media/1632214473579.jpg,
40,BAA0036,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,43.6,10,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.54279,101.0919733,5.846736783,3.28,Belum,-,-,Jefri Neldi,21/09/2021 16:08,200000,1534.52,-,"Chave et al, 2014",media/1632214620849.jpg,media/1632214639538.jpg,media/1632214658958.jpg,media/1632215127148.jpg,
41,BAA0038,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,51,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435351,101.0913698,3.770229366,3.2,Belum,-,-,Devita,21/09/2021 16:14,200000,4099.00,-,"Chave et al, 2014",media/1632215589671.jpg,media/1632215607966.jpg,media/1632215629897.jpg,media/1632215654598.jpg,
42,BAA0039,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,63.6,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5435496,101.0915162,2.923759045,3.2,Belum,-,-,M. Farouq Ikhsan,21/09/2021 16:22,200000,7842.11,-,"Chave et al, 2014",media/1632215963557.jpg,media/1632216020004.jpg,media/1632216042822.jpg,media/1632216081641.jpg,
43,BAA0076RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50.9,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5444048,101.0828173,-11.52962174,3.35,Belum,-,-,Abu Bakar,22/09/2021 10:41,200000,6065.67,-,"Chave et al, 2014",media/1632282060167.jpg,media/1632282070715.jpg,media/1632282089782.jpg,media/1632282106469.jpg,
44,BAA0077RBF,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,35.35,27,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5444063,101.0827257,-8.103083095,3.35,Belum,-,-,Abu Bakar,22/09/2021 10:47,50000,2686.35,-,"Chave et al, 2014",media/1632282371113.jpg,media/1632282397859.jpg,media/1632282416198.jpg,media/1632282442846.jpg,
45,BAA0078RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46.8,27,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.544258,101.0824698,-8.941440298,3.38,Belum,-,-,Abu Bakar,22/09/2021 10:52,200000,4645.43,-,"Chave et al, 2014",media/1632282691811.jpg,media/1632282707861.jpg,media/1632282731113.jpg,media/1632282742512.jpg,
46,BAA0079RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40.7,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.544189,101.0824493,-11.24042041,3.39,Belum,-,-,Abu Bakar,22/09/2021 10:55,200000,3281.05,-,"Chave et al, 2014",media/1632282856171.jpg,media/1632282876861.jpg,media/1632282895327.jpg,media/1632282908418.jpg,
47,BAA0080RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40.1,26,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5441409,101.0823782,-7.274583283,3.4,Belum,-,-,Abu Bakar,22/09/2021 10:58,200000,3311.67,-,"Chave et al, 2014",media/1632283039875.jpg,media/1632283049822.jpg,media/1632283074486.jpg,media/1632283089173.jpg,
48,BAA0081RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50.1,28,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.54408,101.0825083,-10.09781468,3.4,Belum,-,-,Abu Bakar,22/09/2021 11:00,200000,5498.00,-,"Chave et al, 2014",media/1632283186512.jpg,media/1632283204648.jpg,media/1632283230258.jpg,media/1632283243482.jpg,
49,BAA0082RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40.7,27,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5440911,101.0825108,-6.624798809,3.4,Belum,-,-,Abu Bakar,22/09/2021 11:04,200000,3537.00,-,"Chave et al, 2014",media/1632283395682.jpg,media/1632283411066.jpg,media/1632283429036.jpg,media/1632283447443.jpg,
50,BAA0083RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41.7,28,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5442202,101.0825743,-8.491432562,3.38,Belum,-,-,Abu Bakar,22/09/2021 11:08,200000,3842.62,-,"Chave et al, 2014",media/1632283647155.jpg,media/1632283662652.jpg,media/1632283683344.jpg,media/1632283696997.jpg,
51,BAA0084RBF,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,38.2,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5440887,101.082601,-8.32200936,3.39,Belum,-,-,Abu Bakar,22/09/2021 11:13,50000,3463.80,-,"Chave et al, 2014",media/1632283921430.jpg,media/1632283941830.jpg,media/1632283960498.jpg,media/1632283981987.jpg,
52,BAA0093RBF,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,34.7,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5486633,101.0799858,-10.7097048,3.07,Belum,-,-,M. Farouq Ikhsan,22/09/2021 13:31,50000,1932.96,-,"Chave et al, 2014",media/1632292184590.jpg,media/1632292195876.jpg,media/1632292261524.jpg,media/1632292293813.jpg,
53,BAA0101RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5489015,101.0803729,33.47747189,3.03,Belum,-,-,Jefri Neldi,22/09/2021 14:03,200000,2551.07,-,"Chave et al, 2014",media/1632294181740.jpg,media/1632294196001.jpg,media/1632294209185.jpg,media/1632294226363.jpg,
54,BAA0104RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,92,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5487933,101.08075,42.53127382,3.02,Belum,-,-,Jefri Neldi,22/09/2021 15:12,200000,19261.02,-,"Chave et al, 2014",media/1632298218690.jpg,media/1632298293509.jpg,media/1632298338188.jpg,media/1632298366627.jpg,
55,BAA0108RBF,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,36,21,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5487344,101.0804848,10.76478425,3.04,Belum,-,-,Juliardi,22/09/2021 15:18,50000,2178.13,-,"Chave et al, 2014",media/1632298656167.jpg,media/1632298678499.jpg,media/1632298690657.jpg,media/1632298717637.jpg,
56,BAA0901RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,49,27,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5487713,101.0805296,21.65175725,3.03,Belum,-,-,Jefri Neldi,22/09/2021 15:27,200000,5081.23,-,"Chave et al, 2014",media/1632299180130.jpg,media/1632299200214.jpg,media/1632299224355.jpg,media/1632299239704.jpg,
57,BAA0110RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,42,22,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.54876,101.0804296,21.59097058,3.04,Belum,-,-,Jefri Neldi,22/09/2021 15:30,200000,3079.51,-,"Chave et al, 2014",media/1632299372750.jpg,media/1632299407136.jpg,media/1632299422850.jpg,media/1632299435413.jpg,
58,BAA0025RBF,Leban bunga,Vitex Pinnata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,56,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5445194,101.082626,2.824625109,3.35,Belum,-,-,Hari Yudistira,22/09/2021 10:44,200000,5726.50,-,"Chave et al, 2014",media/1632339757877.jpg,media/1632339805395.jpg,media/1632339839371.jpg,media/1632339880925.jpg,
59,BAA0044RBF,Gurah Gurah/Buto Buto,-,Pohon Muda,icon/young_tree.svg,Not Defined,37,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5444667,101.0826789,0.133180902,3.35,Belum,-,-,Hari Yudistira,22/09/2021 10:54,50000,2398.83,-,"Brown, 1997",media/1632340380241.jpg,media/1632340404394.jpg,media/1632340440825.jpg,media/1632340456806.jpg,
60,BAA0045RBF,Gurah Gurah/Buto Buto,-,Pohon Muda,icon/young_tree.svg,Not Defined,38,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5446354,101.0826265,8.466682339,3.33,Belum,-,-,Hari Yudistira,22/09/2021 11:00,50000,2566.27,-,"Brown, 1997",media/1632340700144.jpg,media/1632340740164.jpg,media/1632340799707.jpg,media/1632340824764.jpg,
61,BAA0046RBF,Gurah Gurah/Buto Buto,-,Pohon Muda,icon/young_tree.svg,Not Defined,31,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5447702,101.0826442,17.2446173,3.32,Belum,-,-,Hari Yudistira,22/09/2021 11:05,50000,1533.19,-,"Brown, 1997",media/1632341060996.jpg,media/1632341099960.jpg,media/1632341122506.jpg,media/1632341145536.jpg,
62,BAA0047RBF,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,60,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5447301,101.0827716,-12.99656652,3.32,Belum,-,-,Hari Yudistira,22/09/2021 11:11,200000,8362.13,-,"Chave et al, 2014",media/1632341428062.jpg,media/1632341439320.jpg,media/1632341457482.jpg,media/1632341497399.jpg,
63,BAA0048RBF,Leban bunga,Vitex Pinnata,Pohon Muda,icon/young_tree.svg,Least Concern,36,12,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,1.5445725,101.0825909,18.62713327,3.34,Belum,-,-,Hari Yudistira,22/09/2021 11:17,50000,1468.26,-,"Chave et al, 2014",media/1632341759033.jpg,media/1632341773550.jpg,media/1632341800177.jpg,media/1632341830980.jpg,
